year,round,region_number,region_name,seed,score,team,team.1,score.1,seed.1,text_chunk
1988,3,3,West,1,99,Arizona,Iowa,79,5,"NCAA Tournament Game (1988), Round 3, West region. Arizona (Seed 1) 99 - Iowa (Seed 5) 79. ... Upset: no upset."
1988,3,3,West,2,78,North Carolina,Michigan,69,3,"NCAA Tournament Game (1988), Round 3, West region. North Carolina (Seed 2) 78 - Michigan (Seed 3) 69. ... Upset: no upset."
1988,3,4,Southeast,1,108,Oklahoma,Louisville,98,5,"NCAA Tournament Game (1988), Round 3, Southeast region. Oklahoma (Seed 1) 108 - Louisville (Seed 5) 98. ... Upset: no upset."
1988,3,4,Southeast,2,74,Kentucky,Villanova,80,6,"NCAA Tournament Game (1988), Round 3, Southeast region. Kentucky (Seed 2) 74 - Villanova (Seed 6) 80. ... Upset: UPSET."
1988,4,1,Midwest,4,58,Kansas St,Kansas,71,6,"NCAA Tournament Game (1988), Round 4, Midwest region. Kansas St (Seed 4) 58 - Kansas (Seed 6) 71. ... Upset: UPSET."
1988,4,2,East,1,53,Temple,Duke,63,2,"NCAA Tournament Game (1988), Round 4, East region. Temple (Seed 1) 53 - Duke (Seed 2) 63. ... Upset: UPSET."
1988,4,3,West,1,70,Arizona,North Carolina,52,2,"NCAA Tournament Game (1988), Round 4, West region. Arizona (Seed 1) 70 - North Carolina (Seed 2) 52. ... Upset: no upset."
1988,4,4,Southeast,1,78,Oklahoma,Villanova,59,6,"NCAA Tournament Game (1988), Round 4, Southeast region. Oklahoma (Seed 1) 78 - Villanova (Seed 6) 59. ... Upset: no upset."
1988,5,1,Final Four,6,66,Kansas,Duke,59,2,"NCAA Tournament Game (1988), Round 5, Final Four region. Kansas (Seed 6) 66 - Duke (Seed 2) 59. ... Upset: UPSET."
1988,5,2,Final Four,1,78,Arizona,Oklahoma,86,1,"NCAA Tournament Game (1988), Round 5, Final Four region. Arizona (Seed 1) 78 - Oklahoma (Seed 1) 86. ... Upset: no upset."
1988,6,1,Championship,6,83,Kansas,Oklahoma,79,1,"NCAA Tournament Game (1988), Round 6, Championship region. Kansas (Seed 6) 83 - Oklahoma (Seed 1) 79. ... Upset: UPSET."
1989,1,1,Midwest,1,77,Illinois,McNeese St,71,16,"NCAA Tournament Game (1989), Round 1, Midwest region. Illinois (Seed 1) 77 - McNeese St (Seed 16) 71. ... Upset: no upset."
1989,1,1,Midwest,2,104,Syracuse,Bucknell,81,15,"NCAA Tournament Game (1989), Round 1, Midwest region. Syracuse (Seed 2) 104 - Bucknell (Seed 15) 81. ... Upset: no upset."
1989,1,1,Midwest,3,85,Missouri,Creighton,69,14,"NCAA Tournament Game (1989), Round 1, Midwest region. Missouri (Seed 3) 85 - Creighton (Seed 14) 69. ... Upset: no upset."
1989,1,1,Midwest,4,76,Louisville,Arkansas Little Rock,71,13,"NCAA Tournament Game (1989), Round 1, Midwest region. Louisville (Seed 4) 76 - Arkansas Little Rock (Seed 13) 71. ... Upset: no upset."
1989,1,1,Midwest,5,120,Arkansas,Loyola Marymount,101,12,"NCAA Tournament Game (1989), Round 1, Midwest region. Arkansas (Seed 5) 120 - Loyola Marymount (Seed 12) 101. ... Upset: no upset."
1989,1,1,Midwest,6,70,Georgia Tech,Texas,76,11,"NCAA Tournament Game (1989), Round 1, Midwest region. Georgia Tech (Seed 6) 70 - Texas (Seed 11) 76. ... Upset: UPSET."
1989,1,1,Midwest,7,46,Florida,Colorado St,68,10,"NCAA Tournament Game (1989), Round 1, Midwest region. Florida (Seed 7) 46 - Colorado St (Seed 10) 68. ... Upset: UPSET."
1989,1,1,Midwest,8,64,Pittsburgh,Ball St,68,9,"NCAA Tournament Game (1989), Round 1, Midwest region. Pittsburgh (Seed 8) 64 - Ball St (Seed 9) 68. ... Upset: UPSET."
1989,1,2,Southeast,1,72,Oklahoma,East Tennessee St,71,16,"NCAA Tournament Game (1989), Round 1, Southeast region. Oklahoma (Seed 1) 72 - East Tennessee St (Seed 16) 71. ... Upset: no upset."
1989,1,2,Southeast,2,93,North Carolina,Southern,79,15,"NCAA Tournament Game (1989), Round 1, Southeast region. North Carolina (Seed 2) 93 - Southern (Seed 15) 79. ... Upset: no upset."
1989,1,2,Southeast,3,93,Michigan,Xavier,87,14,"NCAA Tournament Game (1989), Round 1, Southeast region. Michigan (Seed 3) 93 - Xavier (Seed 14) 87. ... Upset: no upset."
1989,1,2,Southeast,4,83,Florida St,Middle Tennessee St,97,13,"NCAA Tournament Game (1989), Round 1, Southeast region. Florida St (Seed 4) 83 - Middle Tennessee St (Seed 13) 97. ... Upset: UPSET."
1989,1,2,Southeast,5,100,Virginia,Providence,97,12,"NCAA Tournament Game (1989), Round 1, Southeast region. Virginia (Seed 5) 100 - Providence (Seed 12) 97. ... Upset: no upset."
1989,1,2,Southeast,6,84,Alabama,South Alabama,86,11,"NCAA Tournament Game (1989), Round 1, Southeast region. Alabama (Seed 6) 84 - South Alabama (Seed 11) 86. ... Upset: UPSET."
1989,1,2,Southeast,7,84,UCLA,Iowa St,74,10,"NCAA Tournament Game (1989), Round 1, Southeast region. UCLA (Seed 7) 84 - Iowa St (Seed 10) 74. ... Upset: no upset."
